БИН;Название;Рег. номер (лицензия);Руководитель (ФИО);Адрес;Контакты (тел./email/сайт);Дата включения в реестр;Дата исключения;Основание исключения;Статус
231140023263;"ТОО ""Коллекторское агентство ""Алаш Финанс""";01.К.24.001;Тоганбаев Жандос Амангельдиевич;050000, город Алматы, Медеуский район, улица Гоголя 75, квартира 16;"8-776-070-97-96; e-mail: alash.finans@mail.ru";26.01.2024;;;Действующее
230640002629;"ТОО ""Коллекторское агентство ""Атлант""";17.К.23.002;Жарилгасинова Арайлым Каировна;г. Алматы, Бостандыкский район, мкрн Орбита-3, дом 55/2, кв.30;8 8-708-818-00-35, too_ka_atlant@mail.ru;28.08.2023;;;Действующее
201240007414;"ТОО ""Коллекторское агентство ""Боз-Жыра""";17.К.21.003;Профатилов Вячеслав Александрович;г.Шымкент, р-н Каратау, мкр.Тассай, ул.Ойқарағай, зд.121;7 707 268 44 22, kkbozzhyra@gmail.com;05.02.2021;;;Действующее
220640013652;"ТОО ""Коллекторское агентство ""Бустэр""";02.K.22.016;Пухамбетова Карлыгаш Жарылкасынкызы;050000, г. Алматы, Бостандыкский район, микрорайон Коктем-1, дом 50, н.п. 99;+7 700 392 03 53, +7 700 753 40 30, +7 771 754 23 88, info@boostrfinance.kz www.https://boostrfinance.kz/;27.09.2022;;;Действующее
200540008966;"ТОО ""Коллекторское агентство ""ВОСТОК""";08.К.20.003;Джайшибекова Пернекуль;080000, Жамбылская область, г.Тараз, улица Сыдыка Абыланова, дом 29;87029005555, rau303@mail.ru;04.08.2020;;;Действующее
220240024425;"ТОО ""Коллекторское агентство ""Взыскание долгов""";04.К.22.001;ЖОЛДАНОВ ЕРЛАН ҚАЗЫБЕКҰЛЫ;город Астана, район Есиль, улица Сығанақ, здание 43;8-705-383-0797 , Zhold.erlan@gmail.com;20.04.2022;;;Действующее
200740016280;"ТОО ""Коллекторское агентство ""Возврат""";17.К.20.003;Маметтохтиев Алим Акпарович;РК, Казахстан, г. Казахстан, г. Шымкент, проспект Тауке хан, дом 49Г, почтовый индекс 160011;тел. +7 778 531 09 30, ka_vozavrat@bk.ru и ka_info@vozvrat.kz;16.10.2020;;;Действующее
100240016975;"ТОО ""Коллекторское агентство ""Гарант""";05.К.17.008;Аджимуратов Арман Каршигаевич;"050009, г. Алматы, Алмалинский район, ул. Шевченко, 165""Б"", офис 805";8 (727) 349 34 90, сот: 8 778 746 00 16, info@apzcollect.kz;17.10.2017;;;Действующее
191040006226;"ТОО ""Коллекторское агентство ""Даму""";01.К.24.002;Ибрагимова Адиля Жунусовна;г. Астана, район Алматы, улица Бейімбет Майлин, дом 11/1;"8-707-824-71-53, e-mail: damu.kollektor@mail.ru; damu.kollektor.kz";27.03.2024;;;Действующее
230340011324;"ТОО ""Коллекторское агентство ""Дебтус""";02.K.23.006;Зуев Дмитрий Сергеевич;050012, г.Алматы, Алмалинский район, улица Жамбыла, 114/85 – 15/1;8 705 372 0087, info@debtus.kz, www.debtus.kz;18.04.2023;;;Действующее
150840012091;"ТОО ""Коллекторское агентство ""Дельта М Казахстан""";18.К.17.003;Хамзина Махабат Нуркеновна;Карагандинская область, г.Караганда, ул.Ержанова, дом №18, 6 этаж;8 (7212) 99-65-02, info@delta-m.asia;24.10.2017;;;Действующее
080740000306;"ТОО ""Коллекторское агентство ""Департамент взыскания долгов""";02.K.22.008;Амрина Гульнара Хаиргельдовна;050062, г. Алматы, Бостандыкский район, улица Жарокова, дом 124, н.п. 7Б;"+ 7(727)-339-47-17, +7-747-333-03-30; info@cadvd.kz; www.cadvd.kz";14.06.2022;;;Действующее
220440053723;"ТОО ""Коллекторское агентство ""Департамент по работе с проблемными кредитами""";02.K.22.012;Рахымбек Ербол Досымханұлы;05000, г. Алматы, Алмалинский район, ул. Найрызбай батыра, дом 58;+7-707-508-1909, collect_drpk@mail.ru, www.drpk.kz;05.07.2022;;;Действующее
150940011394;"ТОО ""Коллекторское агентство ""Досудебное взыскание долгов""";05.К.18.021;Умаров Канат Яхияевич;050012, г.Алматы, Алмалинский район, ул.Масанчи, д.26/118, каб.308;"tel.: +7 (727) 220-80-09; 8 (777) 055-58-99; dvd.collector@mail.ru; dvd.com.kz";16.08.2018;;;Действующее
190140025550;"ТОО ""Коллекторское агентство ""Евро-Азия""";58.К.19.001;Тұрғанбай Балзия Ерланқызы;г.Шымкент, Енбекшинский район, улица Жолдияр Адырбеков, здание 34, почтовый индекс 160011;тел: +7-777-502-90-57, too_euro_asia@inbox.ru;25.02.2019;;;Действующее
201240013220;"ТОО ""Коллекторское агентство ""ЗАҢГЕР""";02.К.20.033;Закарьянова Айгуль Еркиновна;050036, г. Алматы, Ауэзовский район, мкр. Мамыр-7, дом 8/5, офис 5;8-701-595-03-37, 8-707-821-62-63, zangerk@bk.ru, https://zangerka.kz/;20.12.2020;;;Действующее
190940007442;"ТОО ""Коллекторское агентство ""Инспекция по взысканию долгов""";05.К.19.019;Дәулетханұлы Алтынбек;"050002, г.Алматы, Медеуский район, пр. Жибек жолы, дом 50, торговый центр ""Квартал"",3-й этаж, офис № 3";8-702-052-11-11, info@ipvd.kz, www.IPVD.kz;19.11.2019;;;Действующее
161040008425;"ТОО ""Коллекторское агентство ""Каз Инвест Коллекшн""";58.К.17.006;Утекова Умит Амангельдиевна;"Юридический адрес: Республика Казахстан, г.Шымкент, Аль-Фарабийский район, улица Жолдияр Адырбекова, здание 34; Фактический адрес Республика Казахстан, г.Шымкент, Аль-Фарабийский район, улица Жолдияр Адырбекова, здание 34";"+7 (7252) 39-32-20; +7 702 270 60 87; kz.invest.collection@mail.ru; http://kicka.kz";01.11.2017;;;Действующее
171140003529;"ТОО ""Коллекторское агентство ""Казахстан Коллект""";05.К.18.025;Ирмекеев Серпер Еженханович;050000, г. Алматы, Алмалинский район, ул. Байтурыснулы, д.1а, нежилое помещение 4, этаж 4, офис 7;8-727-3550027, serper.irmekeev@fasp.kz, www.ka2.kz;25.10.2018;;;Действующее
071140014484;"ТОО ""Коллекторское агентство ""Казахстан Секьюрити Систем""";05.К.17.004;Адылов Бахтияр Сейтович;050002, г.Алматы, Медеуский район, улица Зенкова, дом 22;8 (727) 269 95 35, Almaty@kazss.kz, www.kazss.kz;12.10.2017;;;Действующее
080840010634;"ТОО ""Коллекторское агентство ""Казахстанский долговой центр""";05.К.17.011;Муратбеков Алибек Бакытжанович;050000/A15H8D8, г. Алматы, Бостандыкский район, ул. Жандосова, 58, оф.514;тел: 8 (727) 346 73 53, факс: 8 (727) 346 73 52, info@kdc.com.kz, https://kdc.com.kz/;23.10.2017;;;Действующее
220740032963;"ТОО ""Коллекторское агентство ""Казахстанское агентство по взысканию платежей""";02.K.23.012;Айдынгали Абзал;050022, г. Алматы, Бостандыкский район, проспект Сейфуллина, дом 597А, офис 505;8-708-291-42-00, Too_ka_avp@mail.ru, www.kakavp.kz;04.09.2023;;;Действующее
160240019960;"ТОО ""Коллекторское агентство ""Капитал Позитив""";58.К.18.003;Туржанов Арман Мухитдинулы;"г.Шымкент, Абайский район, мкр.Казыгурт, ул.Талдыкол, дом 100; фактический адрес: ЮКО, Аль-Фарабийский район, ул.Мадели Кожа, 1 ""Г"", 4 этаж, 4 блок, 424 каб, БЦ ""ЭСКО""";тел. +7 705 173 19 99 Pozitiv_kapitall@mail.ru;06.03.2018;;;Действующее
200440004870;"ТОО ""Коллекторское агентство ""Капитал плюс""";01.К.20.001;Маратұлы Мәди;г.Астана, Есильский район, улица Казыбек би, дом 11Б, кв.57;8 771 020 46 80, электронная почта: info@kapitalplus.kz;10.07.2020;;;Действующее
150740017950;"ТОО ""Коллекторское агентство ""Капитал""";05.К.17.002;Төребек Нұрлан Қыдырбайұлы;г. Шымкент, Аль-Фарабийский район, ул. Туркестанская 11В, почтовый индекс 160000;8-701-850-45-15, capital_01kz@mail.ru;03.10.2017;;;Действующее
131140026749;"ТОО ""Коллекторское агентство ""Капитал-Надзор""";58.К.17.004;Кеутаева Айша Альжановна;г. Шымкент, Енбекшинский район, ул.Елшибек батыра, 55;"8 705 887 73 33, Capital-collector@bk.ru;";16.10.2017;;;Действующее
190940008738;"ТОО ""Коллекторское агентство ""Комитет по возврату долгов""";05.К.19.020;Сулейменов Медет Маликович;"050002, г.Алматы, Медеуский район, пр. Жибек жолы, дом 50, торговый центр ""Квартал"",3-й этаж, офис № 9";8 702 052 10 10, info@kpvd.kz, www.kpvd.kz;19.11.2019;;;Действующее
090640006492;"ТОО ""Коллекторское агентство ""Кредит Коллекшн Груп""";05.К.17.001;Нестеренко Елена Николаевна;050052, г. Алматы, Ауезовский район, мкр. Таугуль -3, ул. Шайкенова, д.24;тел: 8 (727) 330 97 51, факс: 8 (727) 330 97 92, office@ccg.com.kz, http://www.ccg.com.kz;03.10.2017;;;Действующее
100940013976;"ТОО ""Коллекторское агентство ""М.Б.А. Финансы""";05.К.17.003;Ахметов Батыржан Тлеулесович;г. Алматы, Ауэзовский район, мкр. Астана, дом 37;8 (727) 339-12-58, 8 (727) 339-12-59, info@kz.mbacgroup.com, http://kz.mbacgroup.com;05.10.2017;;;Действующее
110440002290;"ТОО ""Коллекторское агентство ""НСВ""";05.К.17.020;Ермекбаев Асхан Апеханович;050026, г.Алматы, Алмалинский район, ул. Джумалиева, дом 115, литер А;8-778-096-4646 info@nsv.kz, www.nsv.kz;16.11.2017;;;Действующее
230940019377;"ТОО ""Коллекторское агентство ""Орда Финанс""";02.K.23.014;Садыкова Анар Ерболқызы;г. Астана, район Есиль, Проспект Мангилик Ел, дом 36, кв. 124, почтовый индекс 010000;77026742558 ordafinance.collect@gmail.com, www.orda-finance.kz;10.11.2023;;;Действующее
070540004697;"ТОО ""Коллекторское агентство ""ПОЗИТИВ Securities""";05.К.17.006;Бугаев Виктор Анатольевич;050002, г. Алматы, Медеуский район, ул. Гоголя, д. 39, офис 201;тел: 8 (727) 352-70-22, вн. 700, collekt@collekt.kz , collekt.kz;12.10.2017;;;Действующее
190940008778;"ТОО ""Коллекторское агентство ""Палата по сбору платежей""";05.К.19.021;Калыгужин Даурен Булатович;050026, г. Алматы, Алмалинский район, улица Муканова. 223В, 3-й этаж, офис № 5;8-702-052-1414 info@ppsp.kz www.PPSP.kz;19.11.2019;;;Действующее
220440013893;"ТОО ""Коллекторское агентство ""Пегас""";02.K.22.006;Елюбаев Рахат Киримбаевич;050036, г. Алматы, Ауэзовский район, Микрорайон Мамыр-4, дом 197А, офис 314;8-776-677-0505 pegas.collect@gmail.com, www.pegas-collect.kz;29.04.2022;;;Действующее
150440021829;"ТОО ""Коллекторское агентство ""Первое Коллекторское Бюро""";05.К.17.007;Шакирова Ажар Сериковна;юридический адрес: 050000, г. Алматы, Алмалинский район, пр. Сейфуллина, д. 458/1, офис 322, фактический адрес: г. Алматы, Медеуский р-н, ул. С. Нурмагамбетова, 424;8 (727) 325-55-52 8-776-007-14-17 8-702-007-14-17 1collekt@1collekt.kz info@1collekt.kz, https://1collekt.kz/;16.10.2017;;;Действующее
200940017800;"ТОО ""Коллекторское агентство ""Право""";02.К.20.025;Кайыпбергенов Бекзат Ерланович;место нахождения: 050057, г.Алматы, Бостандыкский район, ул. Жарокова, 219, н.п. 2, фактический адрес: 050004, г.Алматы, Медеуский район, проспект Жибек жолы, дом 76, 7 этаж;8-771-747-5861, info@pravo1.kz, www.pravo1.kz;12.10.2020;;;Действующее
151140017644;"ТОО ""Коллекторское агентство ""Региональный оператор по взысканию долгов""";05.К.18.003;Моллаева Молдир Талгатовна;050000, г.Алматы, Медеуский район, улица Айтеке би, 55, офис 305.;"701-800-0282; ROVD-2017@yandex.kz; ROVD.kz";18.01.2018;;;Действующее
180440033709;"ТОО ""Коллекторское агентство ""СБ Финанс""";09.К.18.001;Бугыбаев Айдос Мухаметкалиевич;Восточно-Казахстанская область, г. Семей, ул. Мангилик Ел, д. 9, офис 405;"8(7222) 52-44-88; е-mail: sbfinanskz@gmail.com; интернет-ресурс:www.sb-fin.kz";05.07.2018;;;Действующее
180640012703;"ТОО ""Коллекторское агентство ""СОЮЗ""";58.К.18.019;Султанова Айгерим Махмудовна;г.Алматы, район Бостандыкский, пр. Сейфуллина, д.597А, офис 409;тел. +7 747 811 34 25 souz_ka@mail.ru, ka-souz.kz;09.08.2018;;;Действующее
050140003432;"ТОО ""Коллекторское агентство ""СПЕКТР Финанс""";05.К.18.023;Макишев Имангали Зейнуллинович;050002, г. Алматы, Медеуский район, ул. Гоголя, д. 39;8 (727) 244 86 06, info@spmanagement.kz, http://sfin.kz/;28.09.2018;;;Действующее
200940028777;"ТОО ""Коллекторское агентство ""Служба Урегулирования Долгов""";02.К.20.026;Мустафаева Айжан Абдималиковна;г. Шымкент, район Аль-Фараби, ул. Мәделі Қожа, 166 почтовый индекс 160000;8-701-890-99-88, aizhan0785@mail.ru, http://kzsud.kz;23.10.2020;;;Действующее
130240022945;"ТОО ""Коллекторское агентство ""Служба взыскания долгов""";05.К.19.017;Карибаев Акжан Талапұлы;050026, г. Алматы, Алмалинский район, ул. Карасай батыра, здание 152/1, блок «А», этаж 2, офис 204;8 (727) 345-11-50, kasvdkz@gmail.com, www.kasvd.kz;14.11.2019;;;Действующее
190940008748;"ТОО ""Коллекторское агентство ""Служба возврата долгов""";05.К.19.022;Искаков Асхат Кизатович;050026, г. Алматы, Алмалинский район, улица Джумалиева К, дом 115;8-702-052-1616 info@servicevd.kz, www.ServiceVD.kz;19.11.2019;;;Действующее
210640041319;"ТОО ""Коллекторское агентство ""Служба судебного Взыскания""";02.К.21.017;Мукатаев Айдын Бейбитович;050004, г. Алматы, Медеуский район, улица Тулебаева, дом 38/61, блок Ц, 2 этаж, 208 кабинет;87474634158, ssvkz@list.ru, http://vzyskaniya.kz.tilda.ws/page35146947.html;18.08.2021;;;Действующее
051240000800;"ТОО ""Коллекторское агентство ""ТАЙМ ИНВЕСТ""";05.К.17.005;Ахметжанов Канат Женисович;050002, г.Алматы, Медеуский район, улица Зенкова, дом 22;8 (727) 344 12 57, info@timeinvest.kz, www.timeinvest.kz;12.10.2017;;;Действующее
170540013845;"ТОО ""Коллекторское агентство ""Табыс""";58.К.17.013;Егізбаева Ұ.Е.;Юридический адрес: г.Шымкент, Абайский район, мкрн. Казыгурт, ул.Шуакты, дом 2А Фактический адрес: г.Шымкент, Аль-Фарабийский район, ул.Туркестанская, 134;"8(7252)537046, 8-771-052-8070, too_tabys@inbox.ru; www.tabys.com.kz";20.12.2017;;;Действующее
200640010862;"ТОО ""Коллекторское агентство ""Управление по взысканию долгов""";02.К.20.029;Абдикаримова Куралай Сеитжаппаровна;050000, г. Алматы, Бостандыкский район, пр. Абая, 150/230, блок 9, этаж 2;8-771-395-0535 ka_uvd@mail.ru www.kauvd.kz;10.11.2020;;;Действующее
220240021768;"ТОО ""Коллекторское агентство ""Управление по финансовому регулированию""";02.K.22.014;Нұрахмет Қайнар Турсунбайұлы;050026, г.Алматы, Алмалинский район, улица Желтоксан, дом162, кв. 8;8-747-292-6463, ufr.ka@mail.ru, ufr2023.kz;08.08.2022;;;Действующее
161140020001;"ТОО ""Коллекторское агентство ""Финансовая Юридическая Служба Безопасности""";58.К.17.009;Бермухамбетов Нурбек Ермекбаевич;место нахождения : г.Шымкент, Енбекшинский район, жилой массив Тогыс, ул.Мунайбарлаушылар,дом 34, кв.9. Фактический адрес - ЮКО, г.Шымкент, ул.Мадели кожа 1Г, 3-й этаж, 3-й блок, каб. 310;"8(7252)365462, Fusb_uko@mail.ru; http://fusb-uko.kz/";28.11.2017;;;Действующее
210740004596;"ТОО ""Коллекторское агентство ""Финансового Контроля""";05.К.21.001;Жексембаева Мадина Мелисовна;Алматинская область, Карасайский район, г. Каскелен, улица Бәрібаев, дом 60;8 707 326 86 64, rbfk.agentstvo@mail.ru, www.rburo.kz;28.10.2021;;;Действующее
170940002824;"ТОО ""Коллекторское агентство ""Финансовой и правовой безопасности""";05.К.18.002;Койбагаров Нуржас Болатович;050009, г. Алматы, Ауэзовский район, мкр. Мамыр-4, д. 197А, 4 этаж, офис 401;тел: 8 (708) 170-89-42, 8 (727) 339 05 30, fpb.collect@gmail.com, www.fpb.kz;10.01.2018;;;Действующее
081240009760;"ТОО ""Коллекторское агентство ""Финансовый Агент по Сбору Платежей""";05.К.17.021;Ким Дмитрий Алексеевич;050040, г. Алматы, Бостандыкский район, ул. Пирогова, д. 31, офис 401-407;тел: 377-55-43, факс: 377-55-46, dmitriy.kim@fasp.kz, www.fasp.kz;20.11.2017;;;Действующее
181240001200;"ТОО ""Коллекторское агентство ""Финансовый совет""";05.К.19.002;Баймурзин Чингиз Кайратович;г.Алматы, Алмалинский район, ул.Карасай батыра, д.152/1, блок Б, 9 этаж, офис 902;+7 707 665 55 57, 8(727)352 72 94 kafinanssovet@gmail.com, www.finsovet.org.kz;28.01.2019;;;Действующее
190540012850;"ТОО ""Коллекторское агентство ""Финансовый центр по урегулированию задолженности""";02.K.23.008;Садатдинов Фархад Рустамович;050026, г.Алматы, Алмалинский район, улица Байзакова, здание 125, н.п. 1, офис 702;8(727)3787917, afcuz@mail.ru, https://kafcuz.kz;22.05.2023;;;Действующее
180940034399;"ТОО ""Коллекторское агентство ""ЦАКА""";05.К.19.004;Мусаева Динара Бектасовна;"050000, г.Алматы, Медеуский район, пр. Жибек жолы, дом 50, торговый центр ""Квартал"",3-й этаж, офис № 2";"8-702-052-12-12; info@central-asiaca.kz; central-asiaca.kz";19.02.2019;;;Действующее
150440028965;"ТОО ""Коллекторское агентство ""ЦПК""";05.К.19.013;Строкань Андрей Владимирович;050061, г. Алматы, Алатауский р-н, ул. Бокеева, д. 128, офис 510, 511;"сот.тел:8-777-261-71-32; info_cpk@inbox.ru www.collect-cpk.kz";18.06.2019;;;Действующее
181240017118;"ТОО ""Коллекторское агентство ""ЭКС""";14.К.19.001;Сарсебаева Мейрим Бейсетаевна;080000, Жамбылская область, г. Тараз, ул. 2 переулок Рахимова, 1А;8 747 051 1493 meirim.sarsebaeva@ecs.finance;28.03.2019;;;Действующее
151040003422;"ТОО ""Коллекторское агентство ""Эксперт Плюс""";05.К.17.031;Усманов Асхат Сыдыкович;Юридический адрес: город Алматы, Жетысуский район, Проспект Нұрсұлтан Назарбаев, дом 28А, корпус 3 Фактический адрес: г. Алматы, ул.Толе би 298/2;8 778 003 78 41, 8 708 427 08 55, 8 707 381 82 11, expert.collekt@gmail.com, www.explus.kz;06.12.2017;;;Действующее
230140019279;"ТОО ""Коллекторское агентство ""Элит""";02.K.23.007;Турсунов Сатурин Сраждинович;050010, г. Алматы, Медеуский район, ул. Казыбек би, дом 22;8-747-333-7387, 8-777-626-5151, elitekzka@mail.ru, https://elitekzka.wixsite.com/info;19.05.2023;;;Действующее
220440030195;"ТОО ""Коллекторское агентство ""Юг-Коллекшн (Ug-Collecshn)""";02.K.22.011;Смагулова Жанна Берикказыевна;050004, г. Алматы, Медеуский район, проспект Жибек жолы, дом 76, офис 705;8-701-50-99-899, ug-collechn@yandex.ru, ug-collecshn.kz;27.06.2022;;;Действующее
180340015549;"ТОО ""Коллекторское агентство ""Южный корпус""";14.К.18.003;Ғаппар Жансая Қанатқызы;РК, Казахстан, г. Шымкент, Аль-Фарабийский район, проспект Тауке Хана, здание 73/1, почтовый индекс 160000;8-705-212-97-63, YuKorpus@bk.ru;14.05.2018;;;Действующее
210640009513;"ТОО ""Коллекторское агентство ""Юридическая долговая компания""";17.К.21.006;Манахаев Бауыржан Курбанулы;г. Шымкент, Каратауский район, квартал 190, дом 3040, почтовый индекс 160000;8-778-922-30-13, aigulbauyr@gmail.com;03.07.2021;;;Действующее
220440049824;"ТОО ""Коллекторское агентство DebtCredit""";02.K.22.010;БУСАКОВА ФАРИЗА МАКСАТОВНА;Алматы, Бостандыкский район, Микрорайон КОКТЕМ-2, дом 22, 404 кабинет,;8-771-077-7774, debtcredit.kz@mail.ru www.https://debtcredit.kz/;16.06.2022;;;Действующее
200540004212;"ТОО ""Коллекторское агентство KAZ Collection""";02.К.20.009;БАЙТУГАНОВ АДЛЕТ САБИТОВИЧ;050012, г. Алматы, Алмалинский район, улица Карасай Батыра, 123, 3;8-777-715-6772, 8707-700-0958, kazcollection@mail.ru, https://kazcoll.kz/;08.07.2020;;;Действующее
210440006531;"ТОО ""Коллекторское агентство Kazakhstan Collection Group""";02.K.21.010;Ажибаева Алия Кончембаевна;050000, Алматы, Турксибский район, Микрорайон Кайрат, улица Тараз, дом 7, кв. 132;8-702-075-33-72, info@kazcg.kz, kazcg.kz;10.06.2021;;;Действующее
220440048201;"ТОО ""Коллекторское агентство MinFin""";02.K.22.015;Шалкарова Айжамал Адилхановна;160000, г. Шымкент, Каратауский район, мкрн Туран, ул. Новостройки, здание 719;+7 775 303 25 05, minfin_17@mail.ru;10.08.2022;;;Действующее
210440008210;"ТОО ""Коллекторское агентство Workout""";02.К.21.008;Алдонгаров Бауржан Сеитжанович;050022, г. Алматы, Алмалинский район, улица Шевченко, здание 90, офис 103-А;87755865539, info@ka-workout.kz, www.ka-workout.kz;25.05.2021;;;Действующее
130740017977;"ТОО ""Коллекторское агентство КАВД""";58.К.17.003;Алибекова Актоты Ныгматовна;160000, г.Шымкент, Аль-Фарабийский район, проспект Байдибек би, здание 95 А, почтовый индекс 160000;тел. +7701 384 14 14 ,+7778-507-8555, collector.bvd@gmail.com, http://kavdkz.wordpress.com/;04.10.2017;;;Действующее
171140012548;"ТОО ""Коллекторское агентство ОмАль""";58.К.17.012;Абишев Султан Талгатұлы;РК, Казахстан, г. Шымкент, Енбекшинский район, ул. Елшибек Батыр, дом 55, почтовый индекс 160009;"8 777 747 77 29, omal-collector@inbox.ru; http://www.omal.kz/";20.12.2017;;;Действующее
170240023594;"ТОО ""Коллекторское агентство ФА Альянс Финанс""";05.К.17.017;Әбілқайыр Олжас Ерсарыбекұлы;050051, г.Алматы, Медеуский район, мкр. Самал-1, дом 29, офис А5;8-727-339-99-88, 8-727-339-99-80 nb@kaaf.kz , www.alfn.kz;09.11.2017;;;Действующее
230940021537;"ТОО ""Коллекторское агентство ЭОС""";02.K.24.001;Карпык Ануар Сакенулы;"050012, г.Алматы, Алмалинский район, проспект Сейфуллина, дом 502, БЦ ""TURAR"", офис №1001,1002,1003,1004";+7-727-355-0727, eos@ca-eos.kz, https://ca-eos.kzo;03.01.2024;;;Действующее
170540013657;"ТОО ""Коллекторское агентство по взысканию долгов ""Нур комитет""";58.К.18.004;Үсіпбай Ерболат Ерғалиұлы;г.Шымкент, ул. Желтоксана, 20Б;тел. +7 708 978 07 08, nurkomitet@mail.ru;16.03.2018;;;Действующее
120140010232;"ТОО ""Коллекторское агентство по работе с должниками""";09.К.17.001;Омарбаева М.К.;Восточно-Казахстанская область, г. Усть-Каменогорск, ул. Серикбаева, д. 1, офис 401;"8(7232) 53-58-90; е-mail: kard.too@gmail.com; интернет-ресурс:http://kard.ddns.net";20.12.2017;;;Действующее
100740015472;"ТОО ""Коллекторское агентство по урегулированию финансовых проблем""";32.К.17.002;Исенов Асыл Сапарович;Экибастуз қаласы, М.Әуезов көшесі, 15 үй;7 701 639 3473, ufp_ekb@mail.ru;03.11.2017;;;Действующее
070740004317;"ТОО ""Коллекторское агентство-Сұнқар""";05.К.17.032;Кобесов Ринат Сабитович;050004, г. Алматы, Алмалинский район, ул. Абылай Хана, д. 56, офис 36;тел: 8 (727) 279-09-35, agent_aku@mail.ru, https://ka-sunkar.kz/;08.12.2017;;;Действующее
180340025714;"ТОО ""Региональное коллекторское агентство""";05.К.18.020;Калибеков Талгат Берикович;РК, Казахстан, г. Шымкент, район Аль-Фараби, проспект Тауке хана, 49Г, индекс 16001;8 (700) 025 36 65, Rcagency@mail.ru www.rkakz.kz;31.07.2018;;;Действующее
080540009253;"ТОО ""Специализированное коллекторское агентство""";05.К.17.014;Боксебаева Карлыгаш Кенжетаевна;050000, г. Алматы, Алмалинский район, ул. Байзакова, дом 125/185, оф.507;тел/факс: 8 (727) 378 79 17, sccs2008@mail.ru, www.skakz.kz;26.10.2017;;;Действующее
160940014707;"ТОО ""Универсальное коллекторское агентство""";58.К.17.002;ЕСІРКЕП МӨЛДІР АЛТЫНБЕКҚЫЗЫ;г. Астана, район Алматы, Массив VIP-г.ок, дом 21;тел.+771 934 36 87, +7771 591 08 06, +7701 384 14 14 uka.taraz.collektor@gmail.com, http://uka.one.kz/;02.10.2017;;;Действующее
250740017337;ТОО «Коллекторское агентство Ai-Sat Finance»;02.K.25.005;Бухарамов Айтбек Уразалиевич;050060, г.Алматы, Бостандыкский район, улица Жарокова, дом 290, кв. 61;7-747-791-3190, aisat.finance@gmail.com, https://ai-sat.kz;13.10.2025;;;Действующее
251240031317;ТОО «Коллекторское агентство Last chance»;02.К.26.001;Мұсахан Әлия Ерланқызы;050000, город Алматы, Ауэзовский район, Микрорайон 7, дом 1, кв. 145;musahanliaerlankyzy@gmail.com;23.01.2026;;$snuxt-i18n-meta;Действующее
250440037717;ТОО «Коллекторское агентство MNB Collection Group»;09.К.25.002;Алипбаева Нургуль Умирбековна;город Караганда, проспект Бухар-Жырау, дом 75Г офис 505/1;8 702 167 10 48, info@mnbcollection.kz;29.05.2025;;;Действующее
251140014482;ТОО «Коллекторское агентство ORION»;02.К.25.008;Казбекова Тахмина Муратовна;050000, город Алматы, Алмалинский район, проспект Абылай хана, дом 58А, офис 1;info@ka-orion.kz, www.ka-orion.kz;23.12.2025;;;Действующее
250440037668;ТОО «Коллекторское агентство Pay Collect»;09.К.25.003;Туржанов Ермек Серикбекович;г. Шымкаент, ж/м. Нурсат, 89А, 111 кв;+77754307777, paycollect8@gmail.ru;10.06.2025;;;Действующее
240240022581;ТОО «Коллекторское агентство Profit one»;17.К.25.002;Қонысбай Гулбану Зайтқызы;город Шымкент, Енбекшинский район, улица Орынбай Акын, дом 64, почтовый индекс 160000;8-775-319-82-12, profit-one@mail.ru, http:// profitone.kz/;20.11.2025;;;Действующее
250940031032;ТОО «Коллекторское агентство Shokay Group»;02.K.25.007;Шалхар Рахат Базарбекұлы;050000, г.Алматы, Наурызбайский район Садоводческое товарищество Алатау, д. 20;7-771-796-8177, 7-708-988-9360, shokay2025@gmail.com, http://shokay-group.tilda.ws/;11.11.2025;;;Действующее
230940031198;ТОО «Коллекторское агентство «Alliance Collection Agency»;02.K.24.008;Березовская Ирина Альбертовна;050000, г. Алматы, Бостандыкский район, проспект Сейфуллина, 597А, офис 505;8-707-485-84-06, alliancecollectionagency@gmail.com;21.08.2024;;;Действующее
240640016978;ТОО «Коллекторское агентство «ERM Group»;17.К.24.001;Акбулатов Ермек Адильевич;город Шымкент, район Тұран, улица Чехова, дом 72, почтовый индекс 160050;8-771-258-68-93, http:// www.erm-group.kz;31.07.2024;;;Действующее
240540014254;ТОО «Коллекторское агентство «Easy Colect»;09.К.24.002;Жайсанбаева Баян Нурболгановна;город Караганда, район имени Казыбек Би, Микрорайон Таугуль, улица 2, дом 35А;8 771 395 05 30, easycolect@bk.ru;02.07.2024;;;Действующее
241040025006;ТОО «Коллекторское агентство «Eazy ColLect»;01.К.24.004;Ускенали Назгуль Галымовна;050012, г. Алматы, Алмалинский район, ул. Досмухамедова 68Б, офис 12;8 705 306 49 00, eazy.collect@mail.ru;23.12.2024;;;Действующее
250340023525;ТОО «Коллекторское агентство «Empire Finance»;01.К.25.002;САПАРБИЕВ ДЖАБРАИЛ ДИН-ИСЛАМОВИЧ;город Астана, район Алматы, Жилой массив Юго-Восток (левая сторона), Переулок Дегерес, дом 9,;87476617828, empire.finance@mail.ru;28.04.2025;;;Действующее
