Название суда;Категория;Регион;Председатель/Руководитель;Адрес;Телефоны;E-mail;Режим работы
Специализированный суд по административным правонарушениям г. Семей;Специализированный административный суд;Восточно-Казахстанская область;Шыныбаев Ескендир Кайрбекович;Восточно-Казахстанская область, г.Семей, ул. Жанасемейская 31 А;8-7222-77-02-39;160208@sud.kz;
Специализированный суд по административным правонарушениям г. Усть-Каменогорск;Специализированный административный суд;Восточно-Казахстанская область;Ибраев Сайран Муфлинович;Восточно-Казахстанская область, г.Усть-Каменогорск, ул.Мызы 39;8-7232-24-14-74;160205@sud.kz;
Специализированный межрайонный экономический суд ВКО;Специализированный экономический суд;Восточно-Казахстанская область;Касимов Толенди Тлеужанович;Восточно-Казахстанская область, г.Усть-Каменогорск, ул.Ворошилова, 60;8-7232-22-40-02;160202@sud.kz;
Специализированный межрайонный суд по уголовным делам ВКО;Суд по уголовным делам;Восточно-Казахстанская область;Касенов Бердыгали Адилханович;Восточно-Казахстанская область, г.Усть-Каменогорск, ул. К.Кайсенова 55 А;8-7232-25-16-63 8-7232-25-18-91 8-7232-25-18-82;160236@sud.kz;
Специализированный следственный суд города Усть-Каменогорска Восточно-Казахстанской области;Следственный суд;Восточно-Казахстанская область;Сарсенбаев Санат Слямжанович;Восточно-Казахстанская область, г. Усть-Каменогорск, ул. К.Кайсенова 55;8-7232-56-05-31;723-5860@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних №1;Суд по делам несовершеннолетних;Восточно-Казахстанская область;Жумагулова Анна Николаевна;Восточно-Казахстанская область, г.Усть-Каменогорск, ул.Бажова 2;8-7232-22-55-53;160237@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних №2;Суд по делам несовершеннолетних;Восточно-Казахстанская область;Байжуманова Раушангуль Закиевна;Восточно-Казахстанская область, г.Семей, ул.Ленина 26 а;8-7222-52-39-03;160238@sud.kz;
Военный суд Семейского гарнизона;Военный суд;Восточно-Казахстанская область;Секенов Айдар Секенович;г.Семей, ул. Козбагарова, 38;8-7222-56-74-26;160240@sud.kz;
Администратор судов по Восточно-Казахстанской области;Администратор судов (Судебная администрация);Восточно-Казахстанская область;Муталяпов Оян Ескаринович;Восточно-Казахстанская область, г.Усть-Каменогорск, ул. Ю. Увалиева 5;8-7232-56-05-10;1601@sud.kz;
Жамбылский областной суд;Областной суд;Жамбылская область;Ахметжанов Ербол Улатаевич;"Жамбыская область, г.Тараз, проспект Абая, 143 ""а""";8-7262-99-90-03;726-0001@sud.kz;
Суд №2 города Тараз;Городской суд;Жамбылская область;Жамашов Низамиддин Казыбаевич;Жамбылская область, г.Тараз, ул. Ленина, 25А;8-7262-43-50-86;726-1401@sud.kz;
Таразский городской суд;Городской суд;Жамбылская область;Мадемаров Алтынбек Асипбекович;Жамбылская область, г. Тараз, ул. К.Турысов 7;8-7262-34-75-58;726-1201@sud.kz;
Байзакский районный суд;Районный суд;Жамбылская область;Тилеубеков Ергазы Утенович;Жамбылская область, Байзакский район, с. Сарыкемер, ул. Байзак батыра, 93;8-7263-72-19-75;726-2901@sud.kz;
Жамбылский районный суд;Районный суд;Жамбылская область;Толенбеков Досжан Канатбекович;Жамбылская область, Жамбылский район, с.Аса, ул. Абая, 169;8-7263-32-25-84;726-3101@sud.kz;
Жуалынский районный суд;Районный суд;Жамбылская область;Мулькибаев Бахытжан Илиясович;Жамбылская область, Жуалынский район, с.Б.Момышулы, ул. Жибек жолы 5А;8-7263-55-06-57;726-3401@sud.kz;
Кордайский районный суд;Районный суд;Жамбылская область;Тургунбаев Сакен Ынтыкбаевич;Жамбылская область, Кордайский район, с.Кордай, ул. Толе би, 51;8-7263-62-11-51;726-3301@sud.kz;
Меркенский районный суд;Районный суд;Жамбылская область;Тасыбаев Даулет Еркебекович;Жамбылская область, Меркенский район, с.Сарымолдаева, ул. Лермонтова, 106;8-7263-24-07-17;726-2801@sud.kz;
Мойынкуский районный суд;Районный суд;Жамбылская область;Абуев Бабырхан Бекболатулы;Жамбылская область, Мойынкумский район, ул. Амангельды, 54;8-7263-22-43-60;726-2701@sud.kz;
Сарысуский районный суд;Районный суд;Жамбылская область;Уркимбаев Марат Бахтиярович;Жамбылская область, Сарысуский район, г.Жанатас, ул. Аулие ата, 22А;8-7263-46-22-67;726-2660@sud.kz;
Суд района Турара Рыскулова;Районный суд;Жамбылская область;Замбаев Айдарбек Агабаевич;Жамбылская область, Т.Рыскуловский район, с.Кулан, ул. Жибек жолы, 63;8-7263-12-11-53;726-3001@sud.kz;
Таласский районный суд;Районный суд;Жамбылская область;Алимкулова Гульмира Аскаровна;Жамбылская область, Таласский район, г.Каратау, ул. Санырак батыра, 14;8-7264-46-20-18;726-3501@sud.kz;
Шуский районный суд;Районный суд;Жамбылская область;Жаманкулов Ернар Борангазиевич;Жамбылская область,г.Шу, ул. Конаева, 14А;8-7264-32-12-62;726-3201@sud.kz;
Специализированный межрайонный административный суд г. Тараз;Специализированный административный суд;Жамбылская область;Джасузаков Аманжан;Жамбылская область, г.Тараз, ул. Акбозова 27 А;-;-;
Специализированный суд по административным правонарушениям г.Тараз;Специализированный административный суд;Жамбылская область;Оразымбетов Берик Пердеханович;Жамбылская область, г.Тараз, ул. Акбозова 27;8-7262-43-53-43;726-1801@sud.kz;
Специализированный межрайонный экономический суд Жамбылской области;Специализированный экономический суд;Жамбылская область;Таусаров Самат Ибрагимович;Жамбылская область, г.Тараз, ул. Акбозова 27;8-7262-43-46-88;726-2411@sud.kz;
Специализированный межрайонный уголовный суд Жамбылской области;Суд по уголовным делам;Жамбылская область;Байдаулетова Жанна Есболовна;"Жамбылская область, г.Тараз, проспект Абая, 143 ""а""";8-7262-99-91-22;726-2001@sud.kz;
Специализированный следственный суд города Тараза Жамбылской области;Следственный суд;Жамбылская область;Джумабеков Джамбул Маманханович;"Жамбыская область, г.Тараз, проспект Абая, 143 ""а""";8-7262-99-91-95;080258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Жамбылской области;Суд по делам несовершеннолетних;Жамбылская область;Дуйсенбаев Ербол Мизанович;Жамбылская область, г.Тараз, ул. Толе би 30;8-7262-45-65-15;726-2201@sud.kz;
Администратор судов по Жамбылской области;Администратор судов (Судебная администрация);Жамбылская область;Култасов Берик Сайлауович;Жамбылская область, г.Тараз ул. Абая, 143а;8-7262-99-90-06;726-0007@sud.kz;
Западно-Казахстанский областной суд;Областной суд;Западно-Казахстанская область;Мырзакәрім Рустем Мырзакәрімұлы;Западно-Казахстанкая область, г. Уральск, пр.Достык-Дружбы, дом 204;8-7112-55-47-78;0701@sud.kz;
Районный суд №2 Акжаикского района;Городской суд;Западно-Казахстанская область;Гумарова Тамара Салимжановна;Западно-Казахстанкая область, Акжаикский район, с.Тайпак ул.Х.Чурина 7;8-7114-22-15-18;070215@sud.kz;
Районный суд №2 Казталовского района;Городской суд;Западно-Казахстанская область;Бижанов Айвар Серикович;Западно-Казахстанкая область, Казталовский район, п.Жалпактал, ул.Мендалиева, 20;8-7113-82-15-73;711-3160@sud.kz;
Районный суд №2 Теректинского района;Городской суд;Западно-Казахстанская область;Ниязгалиев Ибрагим Кабулович;Западно-Казахстанкая область, Теректинский район, п.Акжаик, ул.Насимуллина, д.16;8-7114-39-16-26;070213@sud.kz;
Суд №2 г. Уральска;Городской суд;Западно-Казахстанская область;Бурамбаев Азамат Жумаевич;Западно-Казахстанкая область, г. Уральск, 5 мкр., строение 12;8-7112-50-07-47;070204@sud.kz;
Суд №2 района Бәйтерек;Городской суд;Западно-Казахстанская область;Жангирова Бахитгуль Шабаевна;Западно-Казахстанкая область, Зеленовский район, п. Дарьинск, ул. Абылайхана, д.27;8-7113-12-41-81 8-7113-12-41-82;070208@sud.kz;
Уральский городской суд;Городской суд;Западно-Казахстанская область;Жумагулов Руслан Нартаевич;Западно-Казахстанкая область, г. Уральск, ул. Карева, 51;8-7112-50-70-83;070203@sud.kz;
Акжаикский районный суд;Районный суд;Западно-Казахстанская область;Нургалиев Алибек Муратович;Западно-Казахстанкая область, Акжаикский район п.Чапаево ул. Мендалиева, 29;8-7113-69-12-67;070214@sud.kz;
Бокейординский районный суд;Районный суд;Западно-Казахстанская область;Сагитова Гулжихан Темирболатовна;Западно-Казахстанкая область, Бокейординский район, c.Сайхин, ул.Утемисова, д.2;8-71140-21-4-30;070220@sud.kz;
Бурлинский районный суд;Районный суд;Западно-Казахстанская область;Кулмуханов Гамал Марсельевич;Западно-Казахстанкая область, г. Аксай, ул. Советская, 72;8-7113-32-06-80;070206@sud.kz;
Жангалинский районный суд;Районный суд;Западно-Казахстанская область;Есжанов Сабыржан Рысбекович;Западно-Казахстанкая область, Жангалинского район, п.Жангала ул.Халыхтар Достыгы, 55;8-7114-12-18-15;070209@sud.kz;
Жанибекский районный суд;Районный суд;Западно-Казахстанская область;Жамантаева Асель Жумагуловна;Жанибекский район, п.Жанибек, ул.Ихсанова, дом 4;8-7113-52-16-01;711-3860@sud.kz;
Казталовский районный суд;Районный суд;Западно-Казахстанская область;Хайрбеков Райбек Сериккалиевич;Западно-Казахстанкая область, Казталовский район п.Казталовка, ул.Желтоксан, дом 29;8-7114-43-14-39;070210@sud.kz;
Каратобинский районный суд;Районный суд;Западно-Казахстанская область;Шукиров Мереке Утепкалиевич;Западно-Казахстанкая область, Каратобинский район, п.Каратоба ул. Курмангалиева, 24;8-71145-31-1-41;070221@sud.kz;
Суд района Бәйтерек;Районный суд;Западно-Казахстанская область;Сариева Роза Есболсыновна;Западно-Казахстанкая область, Зеленовский район п. Переметное, ул.Жеңіс 38;8-71130-22-890;070207@sud.kz;
Сырымский районный суд;Районный суд;Западно-Казахстанская область;Баймуханова Ботакоз Елеуовна;Западно-Казахстанкая область, Сырымский район п.Жымпиты ул.Есенжанова 17;8-7113-42-15-42;070219@sud.kz;
Таскалинский районный суд;Районный суд;Западно-Казахстанская область;Дюсингалиев Асланбек Шарипович;Западно-Казахстанкая область, Таскалинский район, п.Таскала, ул.Жаксыгулова д.5;8-7113-92-18-12;070217@sud.kz;
Теректинский районный суд;Районный суд;Западно-Казахстанская область;Маликов Марат Маликович;Западно-Казахстанкая область, Теректинский район, п. Федоровка, ул. Юбилейная, 16;8-7113-22-13-73;070212@sud.kz;
Чингирлауский районный суд;Районный суд;Западно-Казахстанская область;Кадырбаев Миржан Сансызбаевич;Западно-Казахстанкая область, Чингирлауский район п. Чингирлау ул. Клышева 89;8-7113-73-31-41;070216@sud.kz;
Специализированный межрайонный административный суд г. Уральска;Специализированный административный суд;Западно-Казахстанская область;вакансия;Западно-Казахстанкая область, г.Уральск, ул. Карева, 53;-;-;
Специализированный суд по административным правонарушениям г. Уральска;Специализированный административный суд;Западно-Казахстанская область;Сисенгали Марат Куандыкулы;"Западно-Казахстанкая область, г. Уральск, 5 мкр., Строение-12 """;8-7112-51-25-84;070201@sud.kz;
Специализированный межрайонный экономический суд ЗКО;Специализированный экономический суд;Западно-Казахстанская область;Сматов Исатай Маратович;Западно-Казахстанкая область, г. Уральск, ул. Карева, 53;8-7112-51-50-84;711-2460@sud.kz;
Специализированный межрайонный суд по уголовным делам ЗКО;Суд по уголовным делам;Западно-Казахстанская область;И.о. Ермаханов Бакыт Аманбаевич;Западно-Казахстанкая область, г. Уральск ул. Сейфуллина 37;8-7112-51-93-23;070222@sud.kz;
Специализированный следственный суд города Уральска Западно-Казахстанской области;Следственный суд;Западно-Казахстанская область;Губашев Нурлан Ерболатович;Западно-Казахстанкая область,г. Уральск, ул. Карева, 53;8-7112-50-44-06;070258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних ЗКО;Суд по делам несовершеннолетних;Западно-Казахстанская область;Кадралиева Слуканым Талаповна;Западно-Казахстанкая область, г. Уральск ул. Сейфуллина 37;8-7112-51-02-58;711-2260@sud.kz;
Администратор судов по Западно-Казахстанской области;Администратор судов (Судебная администрация);Западно-Казахстанская область;Кажганов Нурлан Еркинович;Западно-Казахстанкая область, г. Уральск, пр.Достык-Дружбы, дом 204;8-7112-55-47-37;0701@sud.kz;
Карагандинский областной суд;Областной суд;Карагандинская область;Шарипов Нурсерик Каримович;Карагандинская область, г. Караганда, ул.Байкена Ашимова, 16;8-7212-55-94-01;0901@sud.kz;
Балхашский городской суд;Городской суд;Карагандинская область;Сыздыков Нурлыбек Умурбекович;Карагандинская область, г. Балхаш ул. Ленина 44;8-7103-65-60-55;090217@sud.kz;
Жезказганский городской суд;Городской суд;Карагандинская область;Шортанбаев Жанболат Бектурсынович;Карагандинская область, г. Жезказган ул. Гагарина 42;8-7102-76-78-78;090228@sud.kz;
Казыбекбийский районный суд г.Караганды;Городской суд;Карагандинская область;Абдиров Шахатбек Мажитович;Карагандинская область, г.Караганды, ул.Крылова 9;8-7212-41-61-74;090230@sud.kz;
Каражалский городской суд;Городской суд;Карагандинская область;Бейсенов Дархан Кенжегулулы;Карагандинская область, г. Каражал. Ул. Профсоюзная 1;8-7103-22-68-69;090234@sud.kz;
Октябрьский районный суд г. Караганды;Городской суд;Карагандинская область;Марданова Алия Тулеугажиевна;Карагандинская область, г. Караганды ул.Магитогорская 48;8-7212-46-01-12;090203@sud.kz;
Приозерский городской суд;Городской суд;Карагандинская область;Адепбеков Багдат Ахметович;Карагандинская область, г. Приозерск ул.Приморская 8;8-7103-95-40-92;090235@sud.kz;
Районный суд №2 Абайского района;Городской суд;Карагандинская область;Оспанов Ерлан Советович;Карагандинская область, пос. Топар п.Больничный 3;8-7215-33-26-96;090209@sud.kz;
Районный суд №2 Бухар-Жырауского района;Городской суд;Карагандинская область;Омаров Орал Нургалиевич;Карагандинская область, пос. Токаревка ул.Мира 21;8-7213-83-10-08;090211@sud.kz;
Районный суд №2 Казыбекбийского района г. Караганды;Городской суд;Карагандинская область;Кабылбеков Бейбитжан Танирбердиевич;Карагандинская область, г. Караганды, ул.Ерубаева 30;8-7212-42-59-73;090231@sud.kz;
Районный суд №2 Каркаралинского района;Городской суд;Карагандинская область;Жаманкулова Шынар Тлеугабыловна;Карагандинская область, пос. Егиндыбулак ул. Таттимбета 17;8-7214-79-14-46;090216@sud.kz;
Районный суд №2 Октябрьского района г. Караганды;Городской суд;Карагандинская область;Ныгметов Талгат Алиханович;Карагандинская область, г. Караганды, ул. Дружбы 127а;8-7212-47-03-32;090204@sud.kz;
Районный суд №2 Осакаровского района;Городской суд;Карагандинская область;Байгаскин Каирбек Кенжетаевич;Карагандинская область, пос. Молодежный ул. Ленина 34;8-7214-82-14-43;090213@sud.kz;
Районный суд №2 Шетского района;Городской суд;Карагандинская область;Сакенов Серик Тулегенович;Карагандинская область, пос. Агадыр. Ул. Тауелсиз Казахстан 6;8-7103-32-74-87;090221@sud.kz;
Районный суд №3 Октябрьского района г. Караганды;Городской суд;Карагандинская область;Шегенов Ерлан Морякович;Карагандинская область, г. Караганды 22-мкрн д.17/1;8-7212-53-21-10;090205@sud.kz;
Саранский городской суд;Городской суд;Карагандинская область;Экзеков Талгат Турсунович;Карагандинская область, г.Сарань ул. Шахтеррская 44а;8-7213-74-25-57;090232@sud.kz;
Сатпаевский городской суд;Городской суд;Карагандинская область;Сексенов Ерлан Серикович;Карагандинская область, г. Сатпаев ул.Абая 60;8-7106-33-34-06;090233@sud.kz;
Темиртауский городской суд;Городской суд;Карагандинская область;Амрашев Талгат Балташевич;Карагандинская область, г. Темиртау пр. Республики 36;8-7213-92-04-01;090226@sud.kz;
Шахтинский городской суд;Городской суд;Карагандинская область;Мырзахметова Жанна Мажитовна;Карагандинская область, г. Шахтинск ул.40 лет Победы, д.48в;8-7215-64-23-44;721-2660@sud.kz;
Абайский районный суд;Районный суд;Карагандинская область;Исабеков Естай Актаевич;Карагандинская область, г. Абай ул. К.Маркса 34;8-7213-14-36-06;090208@sud.kz;
Актогайский районный суд;Районный суд;Карагандинская область;Касымбеков Мейрхан Зейникенович;Карагандинская область, пос. Актогай ул. Бокейхана 1;8-7103-72-11-30;090224@sud.kz;
Бухар-Жырауский районный суд;Районный суд;Карагандинская область;Жумабеков Серик Маратович;Карагандинская область, пос. Ботакара ул.Маяковского 32;8-7215-42-12-81;090210@sud.kz;
Жанааркинский районный суд;Районный суд;Карагандинская область;Кенжин Жакен Еденович;Карагандинская область, пос. Атасу ул. Сейфуллина 16;8-7103-02-74-95;090219@sud.kz;
Каркаралинский районный суд;Районный суд;Карагандинская область;Шайкамалов Канат Джандарбекович;Карагандинская область, г. Каракаралинск ул. Н. Абдирова 17;8-7214-63-17-00;090215@sud.kz;
Нуринский районный суд;Районный суд;Карагандинская область;Жумабеков Серик Маратович;Карагандинская область, пос. Нура ул.Талжанова 8;8-7214-42-14-57;090214@sud.kz;
Осакаровский районный суд;Районный суд;Карагандинская область;Абылханов Нур Тулегенович;Карагандинская область, пос. Осакаровка ул. Литвинская 71;8-7214-94-22-08;090212@sud.kz;
Улытауский районный суд;Районный суд;Карагандинская область;Базылова Гулсим Зеймолдаевна;Карагандинская область, с. Улытау ул. Булкышева 13;8-7103-52-12-85;090222@sud.kz;
Шетский районный суд;Районный суд;Карагандинская область;Абдыкамалов Амантай Жумадильдаулы;Карагандинская область, пос. Аксу-Аюлы ул.Шортанбая 161;8-7103-12-23-66;090220@sud.kz;
Специализированный межрайонный экономический суд Карагандинской области;Специализированный экономический суд;Карагандинская область;Токбулатов Талгат Ибрагимович;Карагандинская область, г. Караганды ул. Алалыкина 9;8-7212-42-52-89;721-2460@sud.kz;
Специализированный межрайонный суд по уголовным делам Карагандинской области;Суд по уголовным делам;Карагандинская область;Сисимбаев Шарип Каписович;Карагандинская область, г. Караганды ул. Крылова 9;8-7212-41-44-79;090236@sud.kz;
Специализированный следственный суд города Караганды Карагандинской области;Следственный суд;Карагандинская область;Жолкенов Шамшильдин Жолкенович;Карагандинская область, г. Караганда ул. Кривогуза 7;8-7212-25-00-58;090258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Карагандинской области;Суд по делам несовершеннолетних;Карагандинская область;Мутубаева Динара Маратовна;Карагандинская область, г. Караганды ул. Алалыкина, 9;8-7212-43-52-63;90237@sud.kz;
Специализированный межрайонный суд №2 по делам несовершеннолетних Карагандинской области;Суд по делам несовершеннолетних;Карагандинская область;Шакипов Талгат Магазович;Карагандинская область, г. Жезказган ул. Тарадай 4;8-7102-77-30-84;090226@sud.kz;
Специализированный межрайонный админситративный суд г. Балхаш;Специализированный суд;Карагандинская область;Сагимбекова Лязат Абзалбековна;Карагандинская область, г. Балхаш ул. Ленина 44;8-7103-64-03-36;090218@sud.kz;
Специализированный межрайонный админситративный суд г. Темиртау;Специализированный суд;Карагандинская область;Сыздыков Ерлан Ергалиевич;Карагандинская область, г. Темиртау пр. Республики 36;8-7213-90-95-53;090207@sud.kz;
Специализированный межрайонный админситративный суд г. Шахтинск;Специализированный суд;Карагандинская область;Каримбаев Джамбул Жанатович;Карагандинская область, г. Шахтинск ул.40 лет Победы, д.48в;8-7215-65-12-86;090207@sud.kz;
Специализированный межрайонный админстративный суд Карагандинской области;Специализированный суд;Карагандинская область;Макажанов Канат Маратович;Карагандинская область, г. Караганды, ул. Ерубаева, 30;-;-;
Специализированный межрайонный админстративный суд №2 Карагандинской области;Специализированный суд;Карагандинская область;Кишенов Жастилек Омирович;Карагандинская область, г. Жезказган ул. Тарадая, 4;-;-;
Специализированный межрайонный суд по админстративным правонарушениям г. Караганды;Специализированный суд;Карагандинская область;Ан Алексей Николаевич;Карагандинская область, г. Караганды, ул. Жамбула 9;8-7212-42-01-51;090201@sud.kz;
Администратор судов по Карагандинской области;Администратор судов (Судебная администрация);Карагандинская область;Исин Максат Муратович;Карагандинская область, г. Караганда, пр. Бухар Жырау 37;8-7212-55-94-01;0903@sud.kz;
Костанайский областной суд;Областной суд;Костанайская область;Смолин Анатолий Сергеевич;Костанайская область г.Костанай, ул. Гагарина, (район Назарбаев Интеллектуальной школы);8-7142-99-08-33;1001@sud.kz;
Аркалыкский городской суд;Городской суд;Костанайская область;И.о. Абишева Ляззат Жубаткановна;Костанайская область г.Аркалык, ул.Байтурсынова 14;8-7143-07-16-42;100210@sud.kz;
Костанайский городской суд;Городской суд;Костанайская область;Шакаров Канат Калиаскарович;Костанайская область г.Костанай ул.Победы 72;8-7142-57-47-99;100203@sud.kz;
Лисаковский городской суд;Городской суд;Костанайская область;Мирзалиев Женисбек Саветбекович;Костанайская область, г.Лисаковск ул.Верхнетобольская 20;8-7143-33-22-62;100210@sud.kz;
Районный суд №2 Карасуского района;Городской суд;Костанайская область;Кубеев Болат Султанмуратович;Костанайская область, Карасуский район, с.Октябрьское ул. Ватутина 1;8-7144-89-14-83;100209@sud.kz;
Рудненский городской суд;Городской суд;Костанайская область;Сальмухаметов Арстанбай Желкабаевич;Костанайская область г.Рудный ул.Володарского 190;8-7143-13-99-29;100205@sud.kz;
Суд №2 города Костанай;Городской суд;Костанайская область;Кабыш Жасулан Ермекулы;Костанайская область г.Костанай ул.Тәуелсіздік 84;8-7142-547-202;100204@sud.kz;
Алтынсаринский районный суд;Районный суд;Костанайская область;Бурктубаев Арман Маратович;Костанайская область, Алтынсаринский район, село Убаганское, ул. Мира 3;8-7144-53-41-24;100219@sud.kz;
Амангельдинский районный суд;Районный суд;Костанайская область;И.о. Назаркулова Алтынгул Бахытовна;Костанайская область Амангельдинский район, село Амангельды ул. Маметова 7;8-7144-02-17-77;100220@sud.kz;
Аулиекольский районный суд;Районный суд;Костанайская область;Ахметова Асель Батырбековна;Костанайская область Аулиекольский район село Аулиеколь ул. Ленина 36;8-7145-32-11-30;100212@sud.kz;
Денисовский районный суд;Районный суд;Костанайская область;Муканов Нурбол Ерланович;Костанайская область Денисовский район, село Денисовка ул. Ленина 18;8-7143-42-12-31;100226@sud.kz;
Жангельдинский районный суд;Районный суд;Костанайская область;Кожаков Абылай Мантаевич;Костанайская область Жангильдинский район, село Торгай ул. К.Алтынсары 71;8-7143-92-16-30;100216@sud.kz;
Житикаринский районный районный суд;Районный суд;Костанайская область;Исмухамбетов Бакытбай Абсагитович;Костанайская область, г.Житикара, микрорайон 5В, дом 18А;8-7143-52-32-14;100211@sud.kz;
Камыстинский районный суд;Районный суд;Костанайская область;Бурбаева Наталья Александровна;Костанайская область, Камыстинский район, село Камысты ул. Космы 11;8-7143-73-00-80;100214@sud.kz;
Карабалыкский районный суд;Районный суд;Костанайская область;Темирханов Кайрат Сатыболдыулы;Костанайская область, Карабалыкский район, п.Карабалык ул.Ленина 22;8-7144-13-37-52;100213@sud.kz;
Карасуский районный суд;Районный суд;Костанайская область;И,о. Суеналин Марат Болатович;Костанайская область Карасуский район, с. Карасу, ул.Исакова, 67;8-7145-22-13-43;100208@sud.kz;
Костанайский районный суд;Районный суд;Костанайская область;И.о. Дунаева Наталья Владимировна;Костанайская область Костанайский район, п.Затобольск ул.Калинина 53А;8-7145-52-19-73;100225@sud.kz;
Мендыкаринский районный суд;Районный суд;Костанайская область;Бекишев Нурлан Кабиевич;Костанайская область Мендыкаринский район, с.Боровское ул. Байназарова 92;8-7144-32-24-36;100222@sud.kz;
Наурзумский районный суд;Районный суд;Костанайская область;Амиров Серик Мырзагалиевич;Костанайская область Наурзумский район, с.Караменды ул. Абылайхана 17;8- 7145-42-15-38;100217@sud.kz;
Сарыкольский районный суд;Районный суд;Костанайская область;Накипова Шолпан Куанышбаевна;Костанайская область, Сарыкольский район, с.Сарыколь ул.Комсомольская 99;8-7145-12-42-30;100224@sud.kz;
Узункольский районный суд;Районный суд;Костанайская область;Кисикова Жанна Булатовна;Костанайская область, Узункольский район, с.Узунколь ул. Г.Мусрепова 27;8-7144-42-16-06;100208@sud.kz;
Федоровский районный суд;Районный суд;Костанайская область;Берликешева Нургуль Мураловна;Костанайская область, Федоровский район, с.Федоровка ул. Ленина 12;8-7144-22-12-55;100215@sud.kz;
суд района Беймбета Майлина;Районный суд;Костанайская область;Тажкенов Сабыр Жунусканович;Костанайская область, район Беимбета Майлина, с.Айет ул.Тобольская 36;8-7143-63-67-30;100221@sud.kz;
Cпециализированный межрайонный административный суд города Костанай;Межрайонный суд;Костанайская область;Дезиев Ибрагим Муцалхаевич;Костанайская область г.Костанай ул.Пушкина, 100/1;-;-;
Специализированный межрайонный экономический суд Костанайской области;Специализированный экономический суд;Костанайская область;Жуматаев Ерканат Ераманович;Костанайская область г.Костанай ул.Байтурсынова 70;8-7142-54-47-15;100202@sud.kz;
Специализированный межрайонный суд по уголовным делам Костанайской области;Суд по уголовным делам;Костанайская область;Метаев Жолдыбай Сандыбаевич;Костанайская область г.Костанай ул.Зеленая 23;8-7142-27-33-25;100228@sud.kz;
Специализированный следственный суд города Костаная Костанайской области;Следственный суд;Костанайская область;Раисов Абай Абдыгалиевич;г.Костанай ул.Пушкина 100/1;8-7142-99-08-33;714-5860@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Костанайской области;Суд по делам несовершеннолетних;Костанайская область;Шармухаметова Карлыгаш Салимжановна;Костанайская область г.Костанай ул.Тәуелсіздіқ, 72;8-7142-547-202;100229@sud.kz;
Cпециализированный суд по административным правонарушениям города Костанай;Администратор судов (Судебная администрация);Костанайская область;И.о. Лымарь Елана Владиировна;Костанайская область г.Костанай ул.Зеленая 23;8-7142-27-32-77;100201@sud.kz;
Cпециализированный суд по административным правонарушениям города Рудный;Администратор судов (Судебная администрация);Костанайская область;Сұлтан Естай;Костанайская область г.Рудный ул.Володарского 190;8-7143-13-99-39;100206@sud.kz;
Администратор судов по Костанайской области;Администратор судов (Судебная администрация);Костанайская область;Леонов Сергей Владимирович;Костанайская область г.Костанай, ул. Гагарина, (район Назарбаев Интеллектуальной школы);8-7142-99-00-77;714-0007@sud.kz;
Кызылординский областной суд;Областной суд;Кызылординская область;Нурышев Камбар Жумабаевич;Кызылординская область, г.Кызылорда, ул.Айтеке би, 29;8-7242-55-12-01;724-0009@sud.kz;
Байконырский городской суд;Городской суд;Кызылординская область;Жусупов Телжан Куанышбекович;Кызылординская область, г.Байконыр, ул. Максимова, 17 А;8-3362-27-38-55;110207@sud.kz;
Кызылординский городской суд;Городской суд;Кызылординская область;Еркинбеков Мухтар Жусупбекович;Кызылординская область, г.Кызылорда, ул.Айтеке би 29;8-7242-55-97-84;110203@sud.kz;
Суд №2 города Кызылорда;Городской суд;Кызылординская область;Абу Айбек Кенесович;Кызылординская область, г.Кызылорда, ул.Айтеке би 29;8-7242-55-98-71;110204@sud.kz;
Аральский районный суд;Районный суд;Кызылординская область;Турбаев Ермек Боранбаевич;Кызылординская область, Аральский район, г.Аральск , ул Т.Есетова, 6;8-7243-32-18-84;110205@sud.kz;
Жалагашский районный суд;Районный суд;Кызылординская область;Мизанбаев Асылхан Абитханович;"Кызылординская область, Жалагашский район, ул.Абая №39;";8-7243-13-10-72;110209@sud.kz;
Жанакорганский районный суд;Районный суд;Кызылординская область;Косанов Нурлыбек Оразбаевич;Кызылординская область, Жанакорганский район, ул.Амангельды, 107/2;8-7243-52-23-00;110212@sud.kz;
Казалинский районный суд;Районный суд;Кызылординская область;Муратбекулы Дидар;Кызылординская область, Казалинский район, пос.Айтеке би, ул.Жанкожа батыр, 185;8-7243-82-78-01;110206@sud.kz;
Кармакшинский районный суд;Районный суд;Кызылординская область;Кентбаев Дархан Несипбаевич;"Кызылординская область, Кармакшинский район, пос.Жосалы, ул Абая, 94 ""Б""";8-7243-72-29-95;110208@sud.kz;
Сырдарьинский районный суд;Районный суд;Кызылординская область;Алдамбергенов Руслан Темирханулы;Кызылординская область, Сырдарьинский район, пос. Теренузяк , ул Абая Кунанбаева, 24;8-7243-62-11-71;110210@sud.kz;
Шиелийский районный суд;Районный суд;Кызылординская область;Куздебаев Марат Орманбекулы;"Кызылординская область, Шиелийский район, ул.Т.Рыскулова, 11""А""";8-7243-24-28-76;110211@sud.kz;
